VideoName,VideoNumber,Plays,Tags,
Bejaarde Amerikaanse toeristen per caravan door Europa,857,24,zomer,
Badende kinderen in het Amstelkanaal,2801,32,zomer;water,
Edam aan zee,2277,34,zomer,
Stormloop op het kampeerterrein,2081,28,zomer,
Branden vernielen honderden hectare natuurgebied,2583,32,zomer;natuur;brand,
Het stille strand,1479,27,zomer,
Noordzee badplaatsen,2263,29,zomer,
Strandopnamen,2914,24,zomer,
Drukte op het strand,3104,31,zomer,
Nieuwste strand- en badpakken,2193,29,zomer;Mode en beauty,
Zandbouwwedstrijd op het strand,2946,20,zomer;jeugd;Zandvoort,
Kamp van de Rode Valken,1633,21,zomer,
Vakantie in Nederland,885,20,zomer,
Een dag in het kamp,955,31,zomer,
Strandgenoegens,2839,25,zomer,
Zomerfeest in het kleuterhuis van de NSB,2613,29,zomer,
Zon is leven,2011,23,zomer,
Noordwijk aan Zee als badplaats en tenniscentrum,3192,10,zomer,
De zon,2979,17,zomer,
Nieuwste caravans en tenten op RAI-tentoonstelling in Amsterdam,1871,19,zomer,
Jeugd zomermode,913,23,zomer;jeugd;Mode en beauty,
Voorbereiding voor de zomer,507,22,zomer;Zandvoort,
Zomer valt weer echt in het water,2221,35,zomer;water,
Caravan behendigheidsproeven,1307,24,zomer,
Vakantietrek naar het water,1997,37,zomer;water,
Hoe warm het was,675,25,zomer,
De mooie; warme zomer,2389,23,zomer,
Verkeerscontrole op vakantie auto's,591,31,zomer;verkeer,
Kampeer-auto's op Caravan-RAI,8742,25,zomer,
ANWB-instructie voor caravanrijders,650525,1,zomer;vakantie;voorlichting;examen,
Britse kinderen bezoeken graven van hun gesneuvelde vaders,20306,34,Nijmegen;4 en 5 mei;oorlogsmonument,
De zwaar getroffen stad Nijmegen,24277,31,Nijmegen;4 en 5 mei,
Nijmegen herrijst,24318,32,Nijmegen;4 en 5 mei,
Kranslegging op de Waalbrug bij de gedenksteen,24562,25,Nijmegen;4 en 5 mei,
Joodse weeskinderen arriveren in ons land,25199,25,Nijmegen;4 en 5 mei,
Opheffing van het KNIL-centrum,25589,31,Nijmegen;Indonesië;4 en 5 mei,
Plechtige inwijding van Titus Brandsma Kapel in Nijmegen,26039,23,Nijmegen;4 en 5 mei,
De 39ste Vierdaagse afstandsmarsen,27874,19,Nijmegen;Typisch Nederlands,
Bevrijding van Nijmegen - intocht (1944),32759,37,Nijmegen;4 en 5 mei,
Bevrijding van Nijmegen (1944),32730,37,Nijmegen;4 en 5 mei,
Onthulling monument Nijmegen (1959),32476,11,Nijmegen;oorlogsmonument,
Herdenking op Jonkerbosch (1959),32462,26,Nijmegen;4 en 5 mei,
Europese schaatskampioenschappen heren,49248,29,Deventer;sport;winter,
Beeldhouwer Mari Andriessen 80 jaar,21407,22,Haarlem;4 en 5 mei;Enschede;oorlogsmonument,
Herdenking van de tien gefusilleerde gijzelaars in Haarlem,24700,17,Haarlem;4 en 5 mei;oorlogsmonument,
Historische klederdrachten,27678,24,Haarlem;Typisch Nederlands,
Tentoonstelling van Delftse keramiek,28024,14,Haarlem;Typisch Nederlands,
Tweede verjaardag der bevrijding van Eindhoven,21525,26,Eindhoven;4 en 5 mei,
Herdenking van Eindhovens bevrijding,25224,21,Eindhoven;4 en 5 mei,
Minister Cals heit tachtigste paal voor Technische Hogeschool te Eindhoven,149838,6,Eindhoven;onderwijs,
Open Nederlandse Tafeltenniskampioenschappen in Eindhoven,149877,13,Eindhoven;sport,
Nationale atletiekkampioenschappen in Eindhoven,149909,12,Eindhoven;sport,
Burgers (des)organiseren het verkeer in Eindhoven,149961,7,Eindhoven;Verkeer en vervoer,
Eindhoven voetbalkampioen van Nederland,149989,10,Eindhoven;sport,
Eindhoven heeft een nieuwe burgemeester,151031,4,Eindhoven,
Eindhoven: intocht van St. Nicolaas,151057,8,Eindhoven;Typisch Nederlands,
De nieuwe Fokker G-1,151086,13,Eindhoven;luchtvaart,
Minister Deckers bezoekt Hotel Royal,151115,6,Eindhoven,
Evoluon,23100,35,Eindhoven;techniek en innovatie;Madurodam,
Ontheemden uit Midden-Europa vinden asiel in ons land,10692,30,Eindhoven;vluchtelingen;culturele diversiteit,
Officiële opening van de geëlektrificeerde lijn Eindhoven-Maastricht,128749,16,Eindhoven;spoorwegen,
Het opzetten van dieren voor particuliere en wetenschappelijke doeleinden,8715,33,Eindhoven;natuur,
Eerste lichtwedstrijd PSV-stadion,11476,27,Eindhoven;sport,
Atletiekwedstrijden om het Nederlands kampioenschap,73858,20,Eindhoven;sport,
Feestelijke ingebruikneming van de nieuwe spoorbaan,132389,16,Eindhoven;spoorwegen,
Wedstrijd om de Nederlandse voetbalbeker,10245,16,Eindhoven;sport,
Om het hockeykampioenschap HTVC - PW,72685,25,Eindhoven;sport,
Leden van de Eerste en Tweede Kamer brengen bezoek aan Nederlandse industrieën,14588,17,Eindhoven;arbeid,
60 jaar Philips,79040,24,Eindhoven;industrie en productie,
Dr. A.F. Philips 75 jaar,151225,10,Eindhoven,
Basketbal Nederland-Zweden,151252,6,Eindhoven;sport,
Vleugel van nieuw stadhuis gereed,151278,5,Eindhoven,
Demonstraties met pantserwagens,151312,10,Eindhoven,
Luciferfabricage,151339,10,Eindhoven;industrie en productie,
Voetbalwedstrijd Zuid-Nederland - Luxemburg,151374,4,Eindhoven;sport,
Uitbreiding van Technische Hogeschool,151407,9,Eindhoven;onderwijs,
Semi-internationaal voetbal Zuid-Nederland - Luxemburg,151434,8,Eindhoven;sport,
Wielercriterium,151461,8,Eindhoven;sport,
Bowlingwedstrijden,151496,11,Eindhoven;sport,
Gildefeesten,151544,8,Eindhoven,
Beveiliging kinderspeelplaatsen,151573,7,Eindhoven,
"Wonderland"; vakantie-dorado voor de schooljeugd,151607,10,Eindhoven;vakantie,
Hevige windvlaag teistert de stad,151639,9,Eindhoven,
St. Nicolaas in ons land,151834,8,Eindhoven;Typisch Nederlands,
Erepromotie van de heer H.J. van Doorne,151856,13,Eindhoven;Verkeer en vervoer;industrie en productie,
